date,value
"2020-04-11",-49
"2020-04-10",-46
"2020-04-09",-42
"2020-04-08",-44
"2020-04-07",-43
"2020-04-06",-44
"2020-04-05",-58
"2020-04-04",-55
"2020-04-03",-49
"2020-04-02",-48
"2020-04-01",-48
"2020-03-31",-45
"2020-03-30",-46
"2020-03-29",-58
"2020-03-28",-52
"2020-03-27",-43
"2020-03-26",-43
"2020-03-25",-42
"2020-03-24",-47
"2020-03-23",-49
"2020-03-22",-60
"2020-03-21",-43
"2020-03-20",-32
"2020-03-19",-26
"2020-03-18",-16
"2020-03-17",18
"2020-03-16",26
"2020-03-15",6
"2020-03-14",-2
"2020-03-13",1
"2020-03-12",0
"2020-03-11",-1
"2020-03-10",-2
"2020-03-09",-1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",1
"2020-03-05",-2
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",1
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",-4
"2020-02-25",-4
"2020-02-24",-4
"2020-02-23",-4
"2020-02-22",-6
"2020-02-21",-5
"2020-02-20",-5
"2020-02-19",-4
"2020-02-18",-4
"2020-02-17",-7
"2020-02-16",-3
